id,property_id,rating_count,city
"3926","726309","13","Jaisalmer"
"3927","726311","1","Indore"
"3928","726321","37","Jaipur"
"3929","726324","21","Dwarka"
"3930","726327","14","Hyderabad"
"3931","726330","8","Kolhapur"
"3932","726338","164","Kollur"
"3933","726347","248","Chennai"
"3934","726355","16","Hyderabad"
"3935","726365","2","Lucknow"
"3936","726369","21","Chennai"
"3937","726383","247","Coimbatore"
"3938","726475","62","Leh"
"3939","726548","71","Jaipur"
"3940","726563","208","Lonavala"
"3941","726583","4","Dharamshala"
"3942","726584","25","Darjeeling"
"3943","726628","54","Dharamshala"
"3944","726659","38","Kota"
"3945","726666","4","Lucknow"
"3946","726667","14","Chennai"
"3947","726673","7","Kota"
"3948","726674","2","Lucknow"
"3949","726681","33","Katra"
"3950","726696","2","Katra"
"3951","726710","67","Diveagar"
"3952","726731","51","Chandigarh"
"3953","726734","172","Lucknow"
"3954","726737","37","Lucknow"
"3955","726740","21","Gangtok"
"3956","726750","69","Faridabad"
"3957","726751","7","Ludhiana"
"3958","726776","21","Lucknow"
"3959","726779","6","Lucknow"
"3960","726788","5","Kolkata"
"3961","726790","3","Ghaziabad"
"3962","726839","14","Katra"
"3963","726876","3","Lucknow"
"3964","726877","3","Lucknow"
"3965","726901","3","Lucknow"
"3966","729270","6","Lucknow"
"3967","729384","19","Lonavala"
"3968","729390","22","Dharamshala"
"3969","729394","9","Lonavala"
"3970","729401","2","Dwarka"
"3971","729403","15","Darjeeling"
"3972","729405","26","Dewas"
"3973","729413","31","Dharamshala"
"3974","729434","3","Katra"
"3975","729452","29","Indore"
"3976","729454","11","Dharamshala"
"3977","729461","31","Gangtok"
"3978","729477","11","Ludhiana"
"3979","729481","17","Kolkata"
"3980","729482","17","Jaipur"
"3981","729492","44","Kochi"
"3982","729541","48","Chennai"
"3983","729545","7","Chittorgarh"
"3984","729546","19","Dooars"
"3985","729631","1","Durg"
"3986","729674","50","Kolkata"
"3987","729678","29","Lava"
"3988","729733","6","Chennai"
